LocationID,City,Country,Coordinates
1,TOKYO,JAPAN,"(35.6897, 139.6922)"
2,JAKARTA,INDONESIA,"(-6.2146, 106.8451)"
3,DELHI,INDIA,"(28.66, 77.23)"
4,MUMBAI,INDIA,"(18.9667, 72.8333)"
5,MANILA,PHILIPPINES,"(14.5958, 120.9772)"
6,SHANGHAI,CHINA,"(31.1667, 121.4667)"
7,SAO PAULO,BRAZIL,"(-23.5504, -46.6339)"
8,SEOUL,"KOREA, SOUTH","(37.5833, 127.0)"
9,MEXICO CITY,MEXICO,"(19.4333, -99.1333)"
10,GUANGZHOU,CHINA,"(23.1288, 113.259)"
11,BEIJING,CHINA,"(39.905, 116.3914)"
12,CAIRO,EGYPT,"(30.0561, 31.2394)"
13,NEW YORK,UNITED STATES,"(40.6943, -73.9249)"
14,KOLKATA,INDIA,"(22.5411, 88.3378)"
15,MOSCOW,RUSSIA,"(55.7558, 37.6178)"
16,BANGKOK,THAILAND,"(13.75, 100.5167)"
17,BUENOS AIRES,ARGENTINA,"(-34.5997, -58.3819)"
18,SHENZHEN,CHINA,"(22.535, 114.054)"
19,DHAKA,BANGLADESH,"(23.7161, 90.3961)"
20,LAGOS,NIGERIA,"(6.45, 3.4)"
21,ISTANBUL,TURKEY,"(41.01, 28.9603)"
22,OSAKA,JAPAN,"(34.6936, 135.5019)"
23,KARACHI,PAKISTAN,"(24.86, 67.01)"
24,BANGALORE,INDIA,"(12.9699, 77.598)"
25,TEHRAN,IRAN,"(35.7, 51.4167)"
26,KINSHASA,CONGO (KINSHASA),"(-4.3317, 15.3139)"
27,HO CHI MINH CITY,VIETNAM,"(10.8167, 106.6333)"
28,LOS ANGELES,UNITED STATES,"(34.1139, -118.4068)"
29,RIO DE JANEIRO,BRAZIL,"(-22.9083, -43.1964)"
30,NANYANG,CHINA,"(32.9987, 112.5292)"
31,CHENNAI,INDIA,"(13.0825, 80.275)"
32,CHENGDU,CHINA,"(30.6636, 104.0667)"
33,LAHORE,PAKISTAN,"(31.5497, 74.3436)"
34,PARIS,FRANCE,"(48.8566, 2.3522)"
